rank,id_student,code_module,code_presentation,gender,age_band,highest_education,imd_band,num_of_prev_attempts,studied_credits,mean_score,pct_submitted,final_result,dropout,dropout_probability,risk_tier,model_used,scored_date
1,69489,CCC,2014B,M,0-35,Lower Than A Level,80-90%,0,150,,,Withdrawn,1,0.9945,HIGH,XGBoost,2026-06-02
2,674814,CCC,2014J,M,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9941,HIGH,XGBoost,2026-06-02
3,674814,FFF,2014J,M,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9941,HIGH,XGBoost,2026-06-02
4,657118,FFF,2014J,F,35-55,A Level or Equivalent,60-70%,0,240,,,Withdrawn,1,0.9936,HIGH,XGBoost,2026-06-02
5,367045,DDD,2013J,M,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9932,HIGH,XGBoost,2026-06-02
6,677012,DDD,2014J,F,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9932,HIGH,XGBoost,2026-06-02
7,52494,DDD,2013J,F,0-35,Lower Than A Level,90-100%,0,240,,,Withdrawn,1,0.9932,HIGH,XGBoost,2026-06-02
8,675116,CCC,2014J,F,0-35,Lower Than A Level,30-40%,0,240,,,Withdrawn,1,0.9931,HIGH,XGBoost,2026-06-02
9,586282,FFF,2014J,F,0-35,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9929,HIGH,XGBoost,2026-06-02
10,687319,CCC,2014J,M,35-55,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9929,HIGH,XGBoost,2026-06-02
11,687319,FFF,2014J,M,35-55,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9929,HIGH,XGBoost,2026-06-02
12,653206,FFF,2014J,M,0-35,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9929,HIGH,XGBoost,2026-06-02
13,576557,FFF,2014B,M,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9927,HIGH,XGBoost,2026-06-02
14,238301,FFF,2014J,M,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9925,HIGH,XGBoost,2026-06-02
15,320661,BBB,2014B,F,0-35,A Level or Equivalent,20-30%,0,180,,,Withdrawn,1,0.9924,HIGH,XGBoost,2026-06-02
16,514006,BBB,2014J,F,0-35,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9924,HIGH,XGBoost,2026-06-02
17,573970,DDD,2013J,F,0-35,A Level or Equivalent,40-50%,0,240,,,Withdrawn,1,0.992,HIGH,XGBoost,2026-06-02
18,574232,FFF,2013J,M,0-35,A Level or Equivalent,70-80%,0,240,,,Withdrawn,1,0.992,HIGH,XGBoost,2026-06-02
19,573944,EEE,2013J,F,0-35,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.992,HIGH,XGBoost,2026-06-02
20,413259,FFF,2013J,F,35-55,A Level or Equivalent,80-90%,3,240,,,Withdrawn,1,0.9918,HIGH,XGBoost,2026-06-02
21,640140,FFF,2014J,M,0-35,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9917,HIGH,XGBoost,2026-06-02
22,690631,CCC,2014J,M,35-55,A Level or Equivalent,40-50%,0,240,,,Withdrawn,1,0.9917,HIGH,XGBoost,2026-06-02
23,690631,FFF,2014J,M,35-55,A Level or Equivalent,40-50%,0,240,,,Withdrawn,1,0.9917,HIGH,XGBoost,2026-06-02
24,496373,BBB,2014J,F,0-35,Lower Than A Level,40-50%,0,240,,,Withdrawn,1,0.9915,HIGH,XGBoost,2026-06-02
25,1910111,FFF,2013J,F,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9913,HIGH,XGBoost,2026-06-02
26,679568,BBB,2014J,F,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9913,HIGH,XGBoost,2026-06-02
