rank,id_student,code_module,gender,age_band,highest_education,imd_band,mean_score,pct_submitted,num_of_prev_attempts,dropout_probability,risk_tier,final_result
1,69489,CCC,M,0-35,Lower Than A Level,80-90%,,,0,0.9945,HIGH,Withdrawn
2,674814,CCC,M,0-35,Lower Than A Level,80-90%,,,0,0.9941,HIGH,Withdrawn
3,674814,FFF,M,0-35,Lower Than A Level,80-90%,,,0,0.9941,HIGH,Withdrawn
4,657118,FFF,F,35-55,A Level or Equivalent,60-70%,,,0,0.9936,HIGH,Withdrawn
5,367045,DDD,M,0-35,Lower Than A Level,80-90%,,,0,0.9932,HIGH,Withdrawn
6,677012,DDD,F,0-35,A Level or Equivalent,20-30%,,,0,0.9932,HIGH,Withdrawn
7,52494,DDD,F,0-35,Lower Than A Level,90-100%,,,0,0.9932,HIGH,Withdrawn
8,675116,CCC,F,0-35,Lower Than A Level,30-40%,,,0,0.9931,HIGH,Withdrawn
9,586282,FFF,F,0-35,Lower Than A Level,20-30%,,,0,0.9929,HIGH,Withdrawn
10,687319,CCC,M,35-55,Lower Than A Level,10-20,,,0,0.9929,HIGH,Withdrawn
11,687319,FFF,M,35-55,Lower Than A Level,10-20,,,0,0.9929,HIGH,Withdrawn
12,653206,FFF,M,0-35,Lower Than A Level,20-30%,,,0,0.9929,HIGH,Withdrawn
13,576557,FFF,M,0-35,A Level or Equivalent,80-90%,,,0,0.9927,HIGH,Withdrawn
14,238301,FFF,M,0-35,Lower Than A Level,10-20,,,0,0.9925,HIGH,Withdrawn
15,320661,BBB,F,0-35,A Level or Equivalent,20-30%,,,0,0.9924,HIGH,Withdrawn
16,514006,BBB,F,0-35,Lower Than A Level,20-30%,,,0,0.9924,HIGH,Withdrawn
17,573970,DDD,F,0-35,A Level or Equivalent,40-50%,,,0,0.992,HIGH,Withdrawn
18,574232,FFF,M,0-35,A Level or Equivalent,70-80%,,,0,0.992,HIGH,Withdrawn
19,573944,EEE,F,0-35,Lower Than A Level,20-30%,,,0,0.992,HIGH,Withdrawn
20,413259,FFF,F,35-55,A Level or Equivalent,80-90%,,,3,0.9918,HIGH,Withdrawn
